LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
21,12,11.848341814337962,12.025047993411082,0.03,60.647185790617655,0.48582015045611127,8.284725140575922,4.546512847213125,14.251235687598538,27.666008607231607,35.02867903428178,59.727732386030475,60.63799125657178
21,13,11.832496273277258,11.871789404570064,0.03,61.042081933678155,0.5698227588211379,8.07773597747949,4.429201918184432,13.818655006001018,26.841863874864586,33.73455478182666,60.19961459513634,61.033657260292735
21,14,11.888319605210167,11.656206935414833,0.03,61.1126958688418,0.5312569703006332,8.322875620670159,4.361931893058807,14.28559528486488,26.11273601688751,33.83478755888501,55.92151863682551,61.0607840965216
21,15,11.896083587619717,11.597323927065077,0.03,61.16481560525233,0.6013165317529723,8.246513831668748,4.5122153915511465,14.832674140843604,26.289002363774348,33.76365601986081,57.316937594145195,61.12633682514124
22,1,13.196774133157547,15.719761016497234,0.0,84.59884008314087,0.35509034645897347,7.43721644130645,3.268147427640528,15.331791148921889,33.753372394209485,50.289828619768656,66.23269432393079,84.41517862554848
22,2,11.905050493383028,14.40234071487309,0.0,83.31360885497291,0.35509034645897347,6.267324811504786,4.21629863762435,12.383376164096656,27.963663413441218,43.97418217680683,60.039326940470545,83.08086603582751
22,3,11.839228509600073,13.708153920566867,0.0,63.50719838361496,0.35509034645897347,6.772628870192631,3.5305573150932164,12.484693546985916,32.99377734320301,42.17200949693695,58.41872284784615,63.45631362825719
22,4,12.048286913683166,13.51778323786832,0.0,63.153500065864215,0.5847741796625154,6.994398337765906,3.636787368066114,12.952614445469699,29.395248851436985,44.36530162245398,58.912175612038,63.111086821325884
22,5,12.073488178112251,13.041118706183664,0.0,63.53288274896001,0.5847741796625154,7.515610595678263,3.959696716150465,13.956745786100889,28.94366784729228,38.03053046481656,59.45094871819439,63.49206340865229
22,6,11.770527613147783,12.686068295198801,0.0,59.78084221913524,0.9207064519615258,7.08358542280123,3.5533364060705455,14.756624249345819,29.53762225430403,40.298740584017764,59.53426785780961,59.77837647552198
22,7,11.768998660711654,12.590987898726873,0.0,60.989694542351906,0.9562449455345101,7.50357355803237,3.6865381117557474,14.954296695010214,29.964622727453005,37.02534025003781,60.06053574773218,60.98040295440569
22,8,11.722306126282042,12.561207701182076,0.0,62.55627301389568,0.7517370278081411,7.429723221941977,3.786146151964049,13.971289947130384,29.547965922730587,34.03522492754092,60.21852376947808,62.532895521451465
22,9,11.935211333642195,12.659275143973344,0.0,64.03453280407187,0.5996685508090707,7.981519079849845,3.735280437893537,14.948670389286232,30.507010706816246,32.98581108121029,60.36450030340541,63.997832479065146
22,10,11.900934819539428,12.775059977289033,0.01,65.36961350387367,0.525955954635077,7.85046752388053,4.05298404364222,14.78450043599517,30.009591503020054,35.638338162557154,61.53268945805469,65.33124426341543
22,11,11.800112445602648,12.532902190856788,0.01,62.29831561138441,0.4782516069193328,7.69575032356189,4.06986952522712,13.745582998473477,28.61893451404413,34.44217760561914,60.58186795706749,62.28115113484122
22,12,11.942055845959867,12.54851596548606,0.01,64.71749800906147,0.48582015045611127,8.274079596834566,4.517640311430606,14.316123428963998,28.39046807400183,34.71657995443429,60.72859203498651,64.67760894932067
22,13,12.02676555220077,12.47912438675315,0.01,63.49524554552696,0.5698227588211379,8.07773597747949,4.4023661175523365,13.992657698522438,28.36884977292995,34.838377304654095,60.78680864286269,63.46816117650029
22,14,12.041593503594823,12.306318988919411,0.01,61.08556066263711,0.5312569703006332,8.270041906175566,4.200359863636654,14.480147191866624,27.90849672900504,34.08781498420392,61.001398011066975,61.084719036121406
22,15,12.012722918873902,12.253045100625913,0.01,62.820780638190854,0.6013165317529723,8.178690607989397,3.972064809369911,14.842673742554284,26.70894626519554,33.857869868848354,61.16990122397168,62.80427184404864
23,1,12.938344704365598,15.313889808875865,0.0,84.59884008314087,0.35509034645897347,7.43721644130645,3.268147427640528,14.743309891428815,33.753372394209485,46.237261876006265,66.23269432393079,84.41517862554848
23,2,11.769441027808032,14.512800789386418,0.0,84.59884008314087,0.35509034645897347,6.204886754329209,4.12697882296238,12.270947140702889,31.806529292061636,43.97418217680683,60.05217925275223,84.35337347483659
23,3,11.689053472569073,13.886235986712133,0.0,74.97911357236192,0.35509034645897347,6.538406445470288,3.5492702691988764,12.484693546985916,26.991320214644375,42.08221735063881,58.533441999733675,74.81465685663538
23,4,11.952785776711298,13.530265894282937,0.0,66.36463053112317,0.5847741796625154,6.9617458262986585,3.670788975354103,12.655943327751856,29.395248851436985,44.36530162245398,58.94428691669061,66.29042709497872
